Process,Arrival,Burst
P334,333,15
P335,334,16
P336,335,13
P337,336,3
P338,337,6
P339,338,19
P340,339,10
P341,340,6
P342,341,15
P343,342,2
P344,343,6
P345,344,4
P346,345,10
P347,346,14
P348,347,14
P349,348,7
P350,349,6
P351,350,3
P352,351,14
P353,352,1
P354,353,11
P355,354,10
P356,355,9
P357,356,14
P358,357,2
P359,358,9
P360,359,8
P361,360,12
P362,361,14
P363,362,19
P364,363,19
P365,364,15
P366,365,11
P367,366,15
P368,367,3
P369,368,7
P370,369,10
P371,370,1
P372,371,3
P373,372,8
P374,373,11
P375,374,8
P376,375,4
P377,376,11
P378,377,10
P379,378,7
P380,379,20
P381,380,17
P382,381,17
P383,382,6
P384,383,17
P385,384,5
P386,385,12
P387,386,2
P388,387,18
P389,388,19
P390,389,6
P391,390,11
P392,391,11
P393,392,5
P394,393,16
P395,394,3
P396,395,15
P397,396,18
P398,397,6
P399,398,18
P400,399,14
P401,400,14
P402,401,9
P403,402,15
P404,403,9
P405,404,13
P406,405,2
P407,406,1
P408,407,6
P409,408,2
P410,409,18
P411,410,9
P412,411,10
P413,412,19
P414,413,3
P415,414,6
P416,415,1
P417,416,20
P418,417,7
P419,418,1
P420,419,15
P421,420,3
P422,421,3
P423,422,9
P424,423,2
P425,424,6
P426,425,18
P427,426,4
P428,427,1
P429,428,7
P430,429,4
P431,430,14
P432,431,13
P433,432,16
P434,433,8
P435,434,12
P436,435,2
P437,436,18
P438,437,2
P439,438,14
P440,439,19
P441,440,16
P442,441,1
P443,442,8
P444,443,3
P445,444,16
P446,445,12
P447,446,12
P448,447,6
P449,448,13
P450,449,10
P451,450,7
P452,451,20
P453,452,16
P454,453,1
P455,454,17
P456,455,10
P457,456,11
P458,457,10
P459,458,20
P460,459,12
P461,460,16
P462,461,14
P463,462,19
P464,463,1
P465,464,8
P466,465,18
P467,466,10
P468,467,11
P469,468,4
P470,469,20
P471,470,6
P472,471,2
P473,472,13
P474,473,10
P475,474,17
P476,475,5
P477,476,16
P478,477,4
P479,478,2
P480,479,15
P481,480,13
P482,481,20
P483,482,7
P484,483,6
P485,484,9
P486,485,17
P487,486,3
P488,487,20
P489,488,16
P490,489,14
P491,490,9
P492,491,9
P493,492,14
P494,493,7
P495,494,17
P496,495,12
P497,496,18
P498,497,7
P499,498,19
P500,499,7
